Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-02-14 18:34 (EDT),Live,Cody Rigsby,45,Cycling,Theme,45 min 90s Pop Ride,2019-02-14 18:22 (EDT),84,113,38%,79,16.11,3.34,111,,,
2019-02-14 19:11 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-13 00:14 (EDT),,,,,,,5,,,
2019-02-17 16:15 (EDT),On Demand,Ally Love,20,Cycling,Beginner,20 min Beginner Ride,2018-08-16 14:00 (EDT),118,99,36%,85,15.75,5.25,155,,,
2019-02-17 16:38 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-13 00:14 (EDT),,,,,,,28,,,
2019-02-19 18:51 (EDT),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Warm Up Ride,2018-07-30 14:35 (EDT),100,111,37%,89,16.47,4.12,132,,,
2019-02-19 19:07 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-01-03 15:11 (EDT),,,,,,,14,,,
2019-02-20 18:16 (EDT),On Demand,Cody Rigsby,20,Cycling,Theme,20 min Beginner Ride,2018-08-24 15:11 (EDT),127,106,35%,90,15.96,5.31,167,,,
2019-02-20 18:39 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-07 15:10 (EDT),,,,,,,11,,,
2019-02-22 18:32 (EDT),On Demand,Denis Morton,30,Cycling,Low Impact,30 min Low Impact Ride,2018-08-04 15:18 (EDT),163,91,34%,86,14.87,7.42,214,,,
2019-02-22 19:05 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-15 14:26 (EDT),,,,,,,14,,,
2019-02-23 10:04 (EDT),,,44,Cycling,,44 min 31 sec Just Ride,,181,68,27%,100,13.61,10.09,239,,,
2019-02-24 09:21 (EDT),,,35,Cycling,,35 min 41 sec Just Ride,,186,87,28%,111,15.21,9.05,245,,,
2019-02-25 21:11 (EDT),On Demand,,30,Cycling,Scenic Ride,30 min Maine Scenic Ride,,1,30,28%,47,7.18,0.06,1,,,
2019-02-25 21:11 (EDT),,,46,Cycling,,46 min 56 sec Just Ride,,248,88,30%,106,15.35,12.01,326,,,
2019-02-25 22:02 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-21 14:30 (EDT),,,,,,,14,,,
